City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Chake Chake,TZ,79.68,overcast clouds,-5.2459,39.7666,Hotel Archipelago
249,Saint-Joseph,RE,82.4,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
255,Jacqueville,CI,80.6,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
256,Hambantota,LK,77.25,clear sky,6.1241,81.1185,Bungalow 63
261,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
263,La Asuncion,VE,79.5,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
264,Puerto Ayora,EC,86.0,light rain,-0.7393,-90.3518,Castillo Galapagos
266,Pitimbu,BR,82.4,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
268,Guanica,PR,82.99,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
270,Rocha,UY,79.36,clear sky,-34.4833,-54.3333,Beleza Pura B&B
274,Caravelas,BR,80.69,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
279,Trinidad,BO,87.8,broken clouds,-14.8333,-64.9,Hotel Piesta
280,Iquitos,PE,84.2,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
286,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
292,Kourou,GF,82.4,broken clouds,5.1552,-52.6478,Lodge Takini 4
305,Itarema,BR,82.09,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
308,Saint-Georges,GD,82.4,few clouds,12.0564,-61.7485,Siesta Hotel
309,Coruripe,BR,80.38,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
311,Alta Floresta,BR,79.7,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
312,Geraldton,AU,75.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
314,Zabid,YE,77.56,clear sky,14.1951,43.3152,دار الضيافة
316,Hobyo,SO,78.21,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
318,Meulaboh,ID,76.1,overcast clouds,4.1363,96.1285,Kost Pria
321,Lima,PE,78.01,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
325,Canchungo,GW,80.6,broken clouds,12.0672,-16.0333,Aparthotel Napalach
328,Salinopolis,BR,79.74,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
333,Quelimane,MZ,86.0,few clouds,-17.8786,36.8883,Hotel Flamingo
335,Nouakchott,MR,77.0,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
336,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
340,Koster,ZA,75.31,overcast clouds,-25.863000000000003,26.8976,Klub Kranskuil
346,Sao Domingos Do Prata,BR,78.33,clear sky,-19.865,-42.9683,Hotel Santa Isabel
350,Fort Myers Beach,US,75.99,clear sky,26.451999999999998,-81.9481,Lani Kai Island Resort
354,Ibicui,BR,77.4,few clouds,-14.8417,-39.9867,Pousada Vista da Serra
357,Ambovombe,MG,77.14,clear sky,-25.1667,46.0833,RELAHARA
364,Sassandra,CI,78.66,clear sky,4.95,-6.0833,la terrasse
367,Acarau,BR,81.86,light rain,-2.8856,-40.12,castelo pizzaria
385,Nicoya,CR,87.8,scattered clouds,10.1483,-85.45200000000001,Guayacan Real
387,Maceio,BR,82.4,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
390,Mitsamiouli,KM,81.95,light rain,-11.3847,43.2844,Foyer ADM
392,Omboue,GA,78.01,overcast clouds,-1.5746,9.2618,Hotel Olako
394,Sechura,PE,81.45,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
405,Carutapera,BR,80.74,overcast clouds,-1.195,-46.02,Lidera
410,Sambava,MG,77.05,overcast clouds,-14.2667,50.1667,Melrose
417,Paulo Afonso,BR,89.6,broken clouds,-9.4061,-38.2147,Pousada Ilha Bela
420,Hualmay,PE,75.97,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
424,Puerto Leguizamo,CO,88.11,overcast clouds,-0.1934,-74.7819,la casona de juancho
430,Puerto Narino,CO,82.4,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
433,Lamu,KE,78.8,clear sky,-2.2717,40.902,Lamu House
436,Morondava,MG,84.09,light rain,-20.2833,44.2833,La Case Bambou
440,Wamba,NG,75.85,clear sky,8.9333,8.6,Roma Zee Guest House Annex
443,Queimadas,BR,86.58,broken clouds,-10.9783,-39.6264,Hotel Mandala
446,Springbok,ZA,78.62,clear sky,-29.6643,17.8865,Undulata Country Lodge
447,Takoradi,GH,79.84,broken clouds,4.8845,-1.7554,Raybow International Hotel
449,Rolante,BR,75.0,broken clouds,-29.6506,-50.5758,Hotel Tadiotto
458,Savannah Bight,HN,81.0,light rain,16.45,-85.85,Villa on Dunbar Rock
462,Wajid,SO,81.79,overcast clouds,3.8093,43.2471,xamdihotelresturant114
463,Camana,PE,75.69,broken clouds,-16.6228,-72.7111,Hostal Morales
470,Valente,BR,85.55,broken clouds,-11.4122,-39.4619,Bel Pousada E Restaurante
478,Barsi,IN,75.97,clear sky,18.2333,75.7,B.K.T. COMMUNICATION AND FASHION
491,Ugoofaaru,MV,81.61,clear sky,5.6667,73.0,Ungoofaaru Inn
493,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
494,Casma,CL,82.4,clear sky,-41.0082,-73.1244,Hospedaje Casma
497,Mahajanga,MG,77.0,heavy intensity rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
501,Kenscoff,HT,84.2,scattered clouds,18.4506,-72.2869,Auberzazage Sur La Montagne
502,Santa Maria,BR,82.4,broken clouds,-29.6842,-53.8069,Hotel Morotin
504,Sayan,PE,76.21,light rain,-11.1361,-77.1933,Hotel Restaurant Vanessa
507,Wajir,KE,87.33,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
511,Pedernales,DO,81.99,few clouds,18.0384,-71.744,Hotel Costa Marina
512,Kalmunai,LK,77.4,light rain,7.4167,81.8167,VS Villa
517,Punta De Piedra,VE,89.82,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
524,Sumbe,AO,76.19,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
527,San Lorenzo,PY,87.8,light rain,-25.3333,-57.5333,Canarias Hotel
529,Soyo,AO,80.01,overcast clouds,-6.1349,12.3689,Hotel Mpampa
532,Kulhudhuffushi,MV,81.09,clear sky,6.6221,73.07,Haajy Guest House 1
537,Fomboni,KM,82.45,overcast clouds,-12.28,43.7425,Auberge les abou
544,Kavaratti,IN,82.18,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
548,Gambela,ET,83.26,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
549,Cabedelo,BR,82.4,broken clouds,-6.9811,-34.8339,Hotel Pigalle
559,Mayumba,GA,79.7,overcast clouds,-3.432,10.6554,LIKWALE LODGE
560,Cudahy,US,77.0,clear sky,33.9606,-118.1853,Quality Inn & Suites Bell Gardens-Los Angeles
564,Sao Miguel Do Araguaia,BR,87.01,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
565,Parintins,BR,76.82,broken clouds,-2.6283,-56.7358,Cama e Cafe
569,Sao Jose Da Coroa Grande,BR,79.88,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
570,Butterworth,MY,79.0,few clouds,5.3991,100.3638,Cititel Penang
571,Grand Gaube,MU,81.0,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
574,Mbandaka,CD,76.12,overcast clouds,0.0487,18.2603,Guest House Epervier
575,Jaque,PA,85.55,scattered clouds,7.5175,-78.1703,Imbu Bua Lodge
580,Methala,IN,78.8,haze,10.2166,76.2166,Style Homes Holiday Inn
585,Cerrito,CO,80.6,scattered clouds,6.8432,-72.694,Yariseth juliana
586,Samana,DO,82.4,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
587,Belmonte,BR,80.6,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
602,Lokoja,NG,82.31,clear sky,7.8024,6.742999999999999,Hotel Charvid
605,Caraballeda,VE,86.0,few clouds,10.6112,-66.8522,Hotel 15 Letras
612,Pimentel,PE,77.0,clear sky,-6.8367,-79.9342,Casona Del Muelle
617,Monteagudo,BO,86.0,scattered clouds,-19.8167,-63.9833,"Residencial ""OLIVIA"""
620,Mochudi,BW,77.0,clear sky,-24.4167,26.15,Motsile BigMots' Place
626,Loiza,PR,82.4,scattered clouds,18.4313,-65.8802,Malibu Beachfront
633,Mamallapuram,IN,75.2,mist,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
634,Curico,CL,90.0,clear sky,-34.9833,-71.2333,Apart Hotel Punto Real
636,Peto,MX,82.96,broken clouds,20.1333,-88.9167,Hotel D'Rodi&Eve
638,San Andres,CO,84.2,few clouds,12.5847,-81.7006,Hotel Arena Blanca
641,Pital,CO,83.28,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
642,Bonthe,SL,78.89,clear sky,7.5264,-12.505,Bonthe Holiday Village
646,Ilhabela,BR,79.57,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
657,Diamantino,BR,83.1,moderate rain,-14.4086,-56.4461,Hotel Delta
658,Acari,PE,82.11,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
660,Bubaque,GW,78.53,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
664,Mtwara,TZ,80.6,scattered clouds,-10.2667,40.1833,Til Hotels
