City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sorland,NO,67.667,12.6934,32.0,74,75,16.11,broken clouds
80,Taoudenni,ML,22.6783,-3.9836,69.87,20,72,11.03,broken clouds
81,Luderitz,NA,-26.6481,15.1594,69.12,72,97,9.57,overcast clouds
82,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.2,58,0,19.57,clear sky
83,Upernavik,GL,72.7868,-56.1549,31.08,96,100,8.52,light snow
84,Saint-Leu,RE,-21.15,55.2833,82.4,69,90,3.44,moderate rain
85,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,69,0,19.57,clear sky
86,Havelock,US,34.8791,-76.9013,57.2,33,1,16.11,clear sky
87,Hadejia,NG,12.4498,10.0444,69.91,23,0,13.33,clear sky
88,Hofn,IS,64.2539,-15.2082,32.13,88,100,27.83,overcast clouds
89,Kruisfontein,ZA,-34.0033,24.7314,68.0,77,17,4.0,few clouds
90,Georgetown,MY,5.4112,100.3354,77.0,88,20,2.3,few clouds
91,Turayf,SA,31.6725,38.6637,35.6,100,0,11.5,clear sky
92,Monrovia,LR,6.3005,-10.7969,80.6,89,40,7.94,scattered clouds
93,Buraydah,SA,26.326,43.975,55.4,54,0,10.36,clear sky
94,Bambous Virieux,MU,-20.3428,57.7575,81.0,94,40,4.61,light rain
95,East London,ZA,-33.0153,27.9116,70.9,75,100,12.41,overcast clouds
96,Braniewo,PL,54.3797,19.8196,36.3,91,100,16.22,overcast clouds
97,Parfenyevo,RU,58.484,43.4088,4.69,95,97,5.5,overcast clouds
98,Marfino,RU,55.7028,37.3822,12.2,85,0,8.95,clear sky
99,Krosno Odrzanskie,PL,52.0549,15.0988,42.01,70,0,10.36,clear sky
100,Tunceli,TR,39.1083,39.5471,21.2,68,0,5.75,clear sky
101,Carnarvon,AU,-24.8667,113.6333,77.0,94,40,14.97,scattered clouds
102,Victoria,HK,22.2855,114.1577,64.99,80,100,11.34,overcast clouds
103,Raudeberg,NO,61.9875,5.1352,39.99,66,100,12.15,overcast clouds
104,Porto Novo,BJ,6.4965,2.6036,82.4,89,20,8.05,few clouds
105,Berani,PK,25.785,68.8069,51.8,71,0,2.35,smoke
106,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,72,75,6.91,broken clouds
107,Xai-Xai,MZ,-25.0519,33.6442,77.79,79,41,10.89,scattered clouds
108,Cacoal,BR,-11.4386,-61.4472,72.93,95,100,3.71,overcast clouds
109,Hithadhoo,MV,-0.6,73.0833,81.84,73,75,10.8,broken clouds
110,Marabba,SD,12.35,32.1833,70.72,21,0,16.51,clear sky
111,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.97,93,100,1.9,light rain
