City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Boueni,YT,2021-01-19 22:18:04,-12.9025,45.0761,84.2,74,0,17.27
67,Zhanaozen,KZ,2021-01-19 22:18:04,43.3,52.8,25.38,93,100,6.71
68,Matagami,CA,2021-01-19 22:18:04,49.7502,-77.6328,3.2,85,90,3.44
69,Pangani,TZ,2021-01-19 22:18:05,-5.4333,38.9667,76.21,83,99,10.45
70,Khuzdar,PK,2021-01-19 22:18:05,27.7384,66.6434,52.09,52,0,3.29
71,Riberalta,BO,2021-01-19 22:18:05,-10.9833,-66.1,80.6,74,75,5.75
72,Kidal,ML,2021-01-19 22:18:05,18.4411,1.4078,65.89,23,0,13.4
73,Turukhansk,RU,2021-01-19 22:18:05,65.8167,87.9833,-22.5,87,100,4.72
74,Imbituba,BR,2021-01-19 22:18:05,-28.24,-48.6703,69.8,88,75,6.91
75,Pangody,RU,2021-01-19 22:18:06,65.85,74.4859,-18.08,88,90,7.45
76,Turayf,SA,2021-01-19 22:18:06,31.6725,38.6637,44.6,70,0,11.5
77,Vardo,NO,2021-01-19 22:18:06,70.3705,31.1107,19.4,73,40,10.36
78,Esna,EG,2021-01-19 22:18:06,25.2934,32.554,51.8,54,0,11.39
79,Los Llanos De Aridane,ES,2021-01-19 22:18:06,28.6585,-17.9182,60.8,72,75,8.05
80,Helsinki,FI,2021-01-19 22:16:08,60.1695,24.9355,30.0,100,75,9.22
81,Sao Filipe,CV,2021-01-19 22:18:07,14.8961,-24.4956,72.63,65,100,11.74
82,Maunabo,PR,2021-01-19 22:18:07,18.0072,-65.8993,79.0,85,92,1.99
83,Pio Ix,BR,2021-01-19 22:18:07,-6.8375,-40.5792,77.29,60,99,4.79
84,Saint-Philippe,RE,2021-01-19 22:18:08,-21.3585,55.7679,82.4,69,0,4.61
85,Caravelas,BR,2021-01-19 22:18:08,-17.7125,-39.2481,76.12,77,0,5.7
86,Sladkovo,RU,2021-01-19 22:18:08,55.5284,70.3385,-8.75,87,92,8.84
87,Coihaique,CL,2021-01-19 22:18:05,-45.5752,-72.0662,73.4,31,75,9.22
88,Piacabucu,BR,2021-01-19 22:18:08,-10.4056,-36.4344,78.3,79,99,10.38
89,Uruzgan,AF,2021-01-19 22:18:08,32.8333,66.0,39.88,64,0,8.03
90,Laguna,US,2021-01-19 22:18:08,38.421,-121.4238,66.0,17,1,25.32
91,Monrovia,LR,2021-01-19 22:18:09,6.3005,-10.7969,77.0,94,95,7.09
92,Saint-Max,FR,2021-01-19 22:18:09,48.7043,6.21,41.0,70,0,5.75
93,Yarada,IN,2021-01-19 22:18:09,17.65,83.2667,69.8,94,0,2.3
94,Korla,CN,2021-01-19 22:18:09,41.7597,86.1469,18.23,84,47,2.21
95,Iqaluit,CA,2021-01-19 22:18:09,63.7506,-68.5145,28.4,100,90,3.06
96,Namibe,AO,2021-01-19 22:18:09,-15.1961,12.1522,73.09,70,100,3.89
97,Rio Grande,BR,2021-01-19 22:17:40,-32.035,-52.0986,73.99,69,0,1.99
98,Erie,US,2021-01-19 22:18:10,42.7667,-78.6664,30.2,59,75,13.8
99,Paamiut,GL,2021-01-19 22:18:10,61.994,-49.6678,29.91,88,78,15.46
100,Ajaccio,FR,2021-01-19 22:18:10,42.0,8.9167,46.4,76,90,5.75
101,Upernavik,GL,2021-01-19 22:18:10,72.7868,-56.1549,20.71,76,100,6.02
102,Souillac,MU,2021-01-19 22:18:10,-20.5167,57.5167,78.8,89,40,1.14
103,Puerto Madryn,AR,2021-01-19 22:14:21,-42.7692,-65.0385,74.71,47,27,18.23
104,Melilla,ES,2021-01-19 22:18:11,35.2937,-2.9383,48.2,87,0,3.44
105,Henties Bay,NA,2021-01-19 22:18:11,-22.116,14.2845,66.0,88,96,2.24
106,Vestmanna,FO,2021-01-19 22:18:11,62.1564,-7.1664,35.6,80,79,6.91
